이름,연도,나이,출장,선발,이닝,투구,유망주,연차,가중이닝,가중출장,누적이닝,가중투구,선발불펜,큰수술경험,다음연도부상,비고
김동준,2018,26,33,3,47.2,824,0,4,47.2,33,0,824,1,1,0,
김동준,2019,27,33,5,70,1077,0,5,103.04,56.1,0,1653.8,1,1,1,
여건욱,2014,28,28,7,69.2,1212,0,1,86.7,35,0,1212,1,1,1,
여건욱,2017,31,3,0,3.1,69,0,4,3.1,3,0,69,1,1,0,
여건욱,2018,32,18,1,22.2,399,0,5,24.37,20.1,0,447.3,1,1,0,
여건욱,2019,33,25,0,29.2,468,0,6,46.29,39.1,0,781.8,1,1,0,
여건욱,2020,34,25,0,27.2,447,0,7,58.74,51.5,0,974.1,1,1,0,
송신영,2014,37,41,0,42.1,782,0,14,96.54,95.7,1,782,1,1,1,팔꿈치
송신영,2015,38,18,16,69,1171,0,15,129.07,77.2,1,1718.4,0,1,0,
송신영,2016,39,11,3,14.1,226,0,16,83.45,44.1,1,1436.7,1,1,1,
송신영,2017,40,5,0,6.1,107,0,17,50.47,21.7,1,850.7,1,1,1,
이성민,2014,24,9,5,28,492,1,2,68.04,37,0,492,0,0,0,
이성민,2015,25,61,0,72.2,1324,0,3,120.4,87.3,0,1668.4,1,0,0,
이성민,2016,26,36,6,68.2,1173,0,4,132.74,83.2,0,2345.8,1,0,0,
김영규,2019,19,30,10,66.1,1113,1,1,66.1,30,0,1113,1,0,0,
김영규,2020,20,20,13,67.2,1177,1,2,113.47,41,0,1956.1,0,0,1,
김윤식,2020,20,23,11,67.2,1165,1,1,67.2,23,0,1165,1,1,0,팔꿈치
김건국,2018,30,5,1,10.2,158,0,0,10.2,5,0,158,1,1,1,팔꿈치
김건국,2019,31,37,5,66.2,1098,0,1,73.34,40.5,0,1208.6,1,1,0,
김건국,2020,32,32,0,31.2,546,0,2,82.64,60.4,0,1393.6,1,1,0,
김이환,2019,19,11,8,38,706,1,0,38,11,0,706,0,0,0,
김이환,2020,20,17,15,64.2,1295,1,1,90.8,24.7,0,1789.2,0,0,1,
하영민,2014,19,14,13,62.1,1114,1,1,62.1,14,0,1114,0,0,0,
하영민,2015,20,18,2,34.2,603,1,2,77.67,27.8,0,1382.8,1,0,1,
하영민,2016,21,11,1,28.2,434,1,3,83.19,30.6,0,1413.1,1,0,1,
하영민,2017,22,28,2,45.1,746,1,4,81.94,44.7,0,1351.3,1,0,0,
하영민,2018,23,9,1,16.1,299,1,5,61.77,34.1,0,1038.2,1,1,1,토미존
배재준,2018,24,16,5,38.2,726,1,0,38.2,16,0,726,1,1,0,팔꿈치
배재준,2019,25,19,12,62,1078,0,1,88.74,30.2,0,1586.2,0,1,0,
박시영,2016,27,42,2,61.2,1078,0,1,61.2,42,0,1078,1,1,0,팔꿈치
박시영,2017,28,47,3,57,1060,0,2,99.84,76.4,0,1814.6,1,1,0,
박시영,2018,29,21,1,26.1,486,0,3,96.6,74.9,0,1767,1,1,1,
박시영,2019,30,43,6,61.2,1022,0,4,107.97,81.2,0,1892.2,1,1,1,
박시영,2020,31,36,0,30.1,560,0,5,85.99,76.6,0,1518.4,1,1,0,
김재웅,2020,22,43,7,59.2,1040,1,1,59.2,43,0,1040,1,0,0,
정용운,2016,26,12,3,21.2,453,0,0,21.2,12,0,453,1,1,0,
정용운,2017,27,25,11,59.1,1086,0,1,73.94,33.4,0,1403.1,1,1,1,
정용운,2018,28,3,3,10,189,0,2,61.97,26.5,0,1175.7,0,1,1,
정용운,2020,30,3,0,1.2,36,0,4,6.2,4.5,0,130.5,1,1,1,
이명우,2014,32,64,0,42.1,815,0,10,106.84,152.8,0,815,1,1,0,
이명우,2015,33,59,5,59,1017,0,11,116.07,140.8,0,1587.5,1,1,1,
이명우,2016,34,45,2,33,608,0,12,95.35,118.3,1,1727.4,1,1,0,
이명우,2017,35,34,0,26.2,463,0,13,78.8,95,1,1397.1,1,1,0,
이명우,2018,36,59,1,44,732,0,14,78.84,105.3,1,1360.1,1,1,0,
김택형,2015,19,37,10,58,1154,1,1,58,37,0,1154,1,0,1,
김택형,2016,20,32,0,28.1,538,1,2,68.7,57.9,0,1345.8,1,1,1,토미존
김택형,2018,22,14,0,11.2,202,1,4,25.25,30,0,471,1,1,1,
김택형,2019,23,26,0,23.1,447,1,5,30.94,35.8,0,588.4,1,1,0,
김택형,2020,24,31,0,23,439,1,6,44.77,56.2,0,852.9,1,1,0,
정수민,2016,26,15,11,48,895,0,1,48,15,0,895,0,1,0,팔꿈치
정수민,2017,27,15,1,28,502,0,2,61.6,25.5,0,1128.5,1,1,1,
정수민,2018,28,25,7,58,1096,0,3,101.6,43,0,1894.9,1,1,1,
정수민,2019,29,7,1,9.1,214,0,4,63.7,32,0,1232.2,1,1,0,
정수민,2020,30,3,3,15.2,238,0,5,50.57,20.4,0,935.8,0,1,0,
한기주,2015,28,7,0,8.1,131,0,10,8.1,7,0,131,1,1,0,
한기주,2016,29,29,5,56.2,1020,0,11,61.87,33.9,1,1111.7,1,1,1,
한기주,2018,31,33,1,39,728,0,13,67.1,47.5,1,1238,1,1,1,
이상화,2014,26,10,4,27,538,0,0,46.12,18.9,0,538,1,1,0,팔꿈치
이상화,2015,27,14,12,55,1048,0,1,86.45,27,0,1424.6,0,1,0,
이상화,2016,28,16,0,32.2,623,0,2,84.2,30.8,0,1625.6,1,1,0,
이상화,2017,29,70,0,66,1106,0,3,116.04,88.2,0,2066.1,1,1,1,
이상화,2018,30,11,0,10.1,184,0,4,72.4,68,0,1269.7,1,1,1,
이상화,2020,32,18,0,15,232,0,6,20.05,23.5,0,324,1,1,1,
이형범,2017,23,14,4,29.1,489,1,0,29.1,14,0,489,1,0,0,
